"Genus","species","Valid_binomial","Lat","Lon"
"Aspidaphis","adjuvans","Aspidaphis adjuvans",49.6,-119.667
"Aspidaphis","adjuvans","Aspidaphis adjuvans",51.825,-121.649
"Aspidaphis","adjuvans","Aspidaphis adjuvans",53.869,-123.263
"Aspidaphis","adjuvans","Aspidaphis adjuvans",51.851,-121.366
"Cavariella","aegopodii","Cavariella aegopodii",49.533,-120.72
"Cavariella","aegopodii","Cavariella aegopodii",49.26,-123.25
"Cavariella","aegopodii","Cavariella aegopodii",49.26,-123.25
"Cavariella","aegopodii","Cavariella aegopodii",49.26,-123.25
"Cavariella","aegopodii","Cavariella aegopodii",49.26,-123.25
"Cavariella","aegopodii","Cavariella aegopodii",49.26,-123.25
"Cavariella","aegopodii","Cavariella aegopodii",49.26,-123.25
"Cavariella","aegopodii","Cavariella aegopodii",49.26,-123.25
"Cavariella","aegopodii","Cavariella aegopodii",49.383,-120.166
"Cavariella","aegopodii","Cavariella aegopodii",50.9,-116.429
"Cavariella","aegopodii","Cavariella aegopodii",50.9,-116.429
"Cavariella","aegopodii","Cavariella aegopodii",50.119,-122.96
"Cavariella","aegopodii","Cavariella aegopodii",52.117,-106.633
"Cavariella","aegopodii","Cavariella aegopodii",52.117,-106.633
"Cavariella","aegopodii","Cavariella aegopodii",41.213,-121.79
"Cavariella","aegopodii","Cavariella aegopodii",41.213,-121.79
"Cavariella","aegopodii","Cavariella aegopodii",41.311,-122.209
"Cavariella","aegopodii","Cavariella aegopodii",38.699,-108.851
"Cavariella","aegopodii","Cavariella aegopodii",38.699,-108.851
"Cavariella","aegopodii","Cavariella aegopodii",48.01,-116.666
"Cavariella","aegopodii","Cavariella aegopodii",47.895,-116.848
"Cavariella","aegopodii","Cavariella aegopodii",46.225,-121.296
"Cavariella","aegopodii","Cavariella aegopodii",46.225,-121.073
"Cavariella","aegopodii","Cavariella aegopodii",48.385,-117.843
"Cavariella","aegopodii","Cavariella aegopodii",49.095,-123.557
"Cavariella","aegopodii","Cavariella aegopodii",46.951,-120.063
"Cavariella","aegopodii","Cavariella aegopodii",48.056,-117.515
"Cavariella","aegopodii","Cavariella aegopodii",48.714,-119.09
"Cavariella","aegopodii","Cavariella aegopodii",52.117,-122.567
"Cavariella","aegopodii","Cavariella aegopodii",49.3,-121.783
"Cavariella","aegopodii","Cavariella aegopodii",49.942,-124.779
"Cavariella","aegopodii","Cavariella aegopodii",49.26,-123.25
"Cavariella","aegopodii","Cavariella aegopodii",49.26,-123.25
"Cavariella","aegopodii","Cavariella aegopodii",49.255,-123.25
"Cavariella","aegopodii","Cavariella aegopodii",50.257,-98.037
"Cavariella","aegopodii","Cavariella aegopodii",48.874,-53.989
"Cavariella","aegopodii","Cavariella aegopodii",45.133,-76.15
"Cavariella","aegopodii","Cavariella aegopodii",42.95,-79.383
"Cavariella","aegopodii","Cavariella aegopodii",43.2,-80.533
"Cavariella","aegopodii","Cavariella aegopodii",43.2,-80.533
"Cavariella","aegopodii","Cavariella aegopodii",45.217,-75.683
"Cavariella","aegopodii","Cavariella aegopodii",44.367,-75.933
